experiment,strategy,R,P_max,loop_rate,ci_lo,ci_hi,n
mistral,lt_dual_eps0.01,4,15,0.0,0.0,0.0,50
mistral,lt_dual_eps0.01,4,20,0.0,0.0,0.0,50
mistral,lt_dual_eps0.01,4,30,0.0,0.0,0.0,50
mistral,lt_dual_eps0.01,4,40,0.0,0.0,0.0,50
mistral,lt_dual_eps0.01,5,10,0.0,0.0,0.0,50
mistral,lt_dual_eps0.01,5,15,0.0,0.0,0.0,50
mistral,lt_dual_eps0.01,5,20,0.0,0.0,0.0,50
mistral,lt_dual_eps0.01,5,30,0.0,0.0,0.0,50
mistral,lt_dual_eps0.01,5,40,0.0,0.0,0.0,50
mistral,lt_dual_eps0.01,6,10,0.0,0.0,0.0,50
mistral,lt_dual_eps0.01,6,15,0.0,0.0,0.0,50
mistral,lt_dual_eps0.01,6,20,0.0,0.0,0.0,50
mistral,lt_dual_eps0.01,6,30,0.0,0.0,0.0,50
mistral,lt_dual_eps0.01,6,40,0.0,0.0,0.0,50
mistral,lt_dual_eps0.01,7,10,0.0,0.0,0.0,50
mistral,lt_dual_eps0.01,7,15,0.0,0.0,0.0,50
mistral,lt_dual_eps0.01,7,20,0.0,0.0,0.0,50
mistral,lt_dual_eps0.01,7,30,0.0,0.0,0.0,50
mistral,lt_dual_eps0.01,7,40,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,3,10,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,3,15,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,3,20,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,3,30,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,3,40,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,4,10,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,4,15,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,4,20,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,4,30,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,4,40,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,5,10,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,5,15,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,5,20,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,5,30,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,5,40,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,6,10,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,6,15,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,6,20,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,6,30,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,6,40,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,7,10,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,7,15,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,7,20,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,7,30,0.0,0.0,0.0,50
mistral,lt_dual_eps0.05,7,40,0.0,0.0,0.0,50
